ITTER107,Value
ITC1,6.6
ITC2,4.1
ITC3,7.3
ITC4,6.6
ITDA,5.2
ITD1,
ITD2,8.0
ITD3,7.9
ITD4,7.3
ITD5,5.4
ITE1,5.8
ITE2,14.3
ITE3,10.7
ITE4,7.3
ITF1,9.6
ITF2,17.5
ITF3,24.9
ITF4,20.0
ITF5,17.9
ITF6,30.6
ITG1,22.5
ITG2,19.3
